checkpoint_id,band_min,sector,sector_ja,plot_lat,plot_lon,walk_min_from_core,spot_name,spot_category,spot_group,spot_lat,spot_lon,offset_m,Q1,Q2,Q3,Q4,Q5,quality_total,reason,source,origin,neighbours_15min,candidates_considered,runner_up_1,runner_up_2,runner_up_3
CP011,14,NE,北東,35.728673,139.78251,14.9,神々森猿田彦神社,寺社,寺社,35.729343,139.783065,90,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから90m。次点は創価学会（210m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,15,10,創価学会／寺社／210m／品質0.92,東日暮里3丁目公園／公園／122m／品質0.798,蓮念寺／寺社／308m／品質0.92
CP012,14,NE,北東,35.72371,139.788443,14.0,魚誠寿司,すし,食,35.724628,139.788834,108,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから108m。次点は竜泉　むさしや（109m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,18,36,竜泉　むさしや／そば／109m／品質1.0,東嶋屋／そば／112m／品質1.0,誠鮨／すし／112m／品質1.0
CP013,14,E,東,35.716812,139.790494,14.1,リトルアジア,ラーメン,食,35.717709,139.79068,101,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから101m。次点は鮨　４６８（119m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,185件から再利用,18,79,鮨　４６８／すし／119m／品質1.0,浅草　文字家／お好み焼き・もんじゃ／182m／品質1.0,本然寺／寺社／13m／品質0.92
CP014,14,E,東,35.709989,139.792342,14.8,蕎麦処　西原,そば,食,35.710194,139.791763,57,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから57m。次点は日本海（61m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,15,188,日本海／すし／61m／品質1.0,甲州屋／そば／104m／品質1.0,鳥越寿司／すし／105m／品質1.0
CP015,14,SE,南東,35.70409,139.78798,14.5,長応院,文化財のある寺社,文化財,35.703826,139.788743,75,0.8,1.0,1.0,1.0,1.0,0.92,区登録の文化財。短い屋号。仮プロットから75m。次点は浄念寺（79m・品質0.92）で、距離で上回ったため採用。,台東区 文化財一覧,新規選定,13,46,浄念寺／文化財のある寺社／79m／品質0.92,らーめん　改／ラーメン／197m／品質1.0,ラーメン改／ラーメン／199m／品質1.0
CP016,14,SE,南東,35.699767,139.781348,13.9,清水や,そば,食,35.70047,139.780472,111,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから111m。次点は蓑寿司（132m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,12,72,蓑寿司／すし／132m／品質1.0,麺屋　いまむら／ラーメン／153m／品質1.0,麺屋加減／ラーメン／153m／品質1.0
CP017,14,S,南,35.696133,139.774188,14.8,YUZU Lab.,ラーメン,食,35.695432,139.774503,83,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから83m。次点は銀蔵（156m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,17,47,銀蔵／すし／156m／品質1.0,築地すし好／すし／198m／品質1.0,金比羅宮／史跡・記念物／89m／品質0.92
CP018,14,S,南,35.700127,139.767287,13.2,湯島聖堂,寺社,寺社,35.700425,139.766558,74,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから74m。次点はみそ熊（215m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,16,107,みそ熊／ラーメン／215m／品質1.0,献燈台奉献之碑／史跡・記念物／157m／品質0.92,らーめん影武者／ラーメン／239m／品質1.0
CP019,14,SW,南西,35.704523,139.760615,13.5,和可奈,すし,食,35.705531,139.760573,112,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから112m。次点は磯はな（139m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,15,65,磯はな／すし／139m／品質1.0,すず木／すし／193m／品質1.0,天理教國華分教會／寺社／78m／品質0.92
CP020,14,W,西,35.710992,139.757501,14.0,長泉寺,寺社,寺社,35.710179,139.757084,98,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから98m。次点は福狩稲荷（112m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,14,28,福狩稲荷／史跡・記念物／112m／品質0.92,藤之森稲荷神社／寺社／113m／品質0.92,喜福寿寺／寺社／143m／品質0.92
CP021,14,W,西,35.717854,139.757891,14.5,用心棒,ラーメン,食,35.717766,139.757846,11,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから11m。次点は小松庵（178m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,12,29,小松庵／そば／178m／品質1.0,願行寺／寺社／91m／品質0.92,西教寺／寺社／123m／品質0.92
CP022,14,NW,北西,35.724656,139.76087,14.1,満足稲荷神社,寺社,寺社,35.72551,139.760668,97,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから97m。次点は世尊院（118m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,9,21,世尊院／寺社／118m／品質0.92,汐見児童遊園／公園／79m／品質0.84,団子坂上広場／公園／166m／品質0.84
CP023,21,N,北,35.734139,139.774,21.7,真土公園,公園,みどり,35.733865,139.776244,205,0.6,1.0,1.0,1.0,1.0,0.84,公園・庭園。短い屋号。仮プロットから205m。次点は西日暮里一丁目広場（176m・品質0.798）で、品質で上回ったため採用。,OpenStreetMap,新規選定,12,7,西日暮里一丁目広場／公園／176m／品質0.798,小鳩公園／公園／273m／品質0.84,ガリラヤ宣教協会／寺社／345m／品質0.92
CP024,21,N,北,35.733794,139.782757,21.7,味の一番,とんかつ,食,35.73323,139.781389,138,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから138m。次点はますや（205m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,11,22,ますや／そば／205m／品質1.0,三峯神社／寺社／142m／品質0.92,かさねや／とんかつ／250m／品質1.0
CP025,21,NE,北東,35.730621,139.790526,21.8,多美,お好み焼き・もんじゃ,食,35.72971,139.790436,102,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから102m。次点は本格豚骨ラーメン　味味（68m・品質0.958）で、品質で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,18,29,本格豚骨ラーメン　味味／ラーメン／68m／品質0.958,峠の蕎麦／そば／152m／品質1.0,次郎長寿司／すし／164m／品質1.0
CP026,21,NE,北東,35.724017,139.792828,20.3,山田屋,そば,食,35.723583,139.791672,115,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから115m。次点は前野屋（122m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,18,36,前野屋／そば／122m／品質1.0,竜泉大和田／うなぎ／149m／品質1.0,長國寺／寺社／135m／品質0.92
CP027,21,E,東,35.717903,139.796653,21.9,鮓　かね庄,すし,食,35.71772,139.797028,39,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから39m。次点は鮨　一新（41m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,16,114,鮨　一新／すし／41m／品質1.0,鮨処　幸／すし／63m／品質1.0,栄寿司／すし／82m／品質1.0
CP028,21,E,東,35.711324,139.799008,21.6,とんかつ　とお山,とんかつ,食,35.71246,139.798431,137,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから137m。次点は浅草うな鐵　浅草駅前本店（39m・品質0.958）で、品質で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,15,145,浅草うな鐵　浅草駅前本店／うなぎ／39m／品質0.958,風雷庵　浅草本店／そば／145m／品質1.0,つるや／うなぎ／151m／品質1.0
CP029,21,SE,南東,35.704075,139.796156,21.8,駒形寿司,すし,食,35.705093,139.794357,198,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから198m。次点は麺処むささんじん（269m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,18,14,麺処むささんじん／ラーメン／269m／品質1.0,天理教／寺社／297m／品質0.92,らーめん元楽／ラーメン／346m／品質1.0
CP030,21,SE,南東,35.700148,139.789222,20.3,あさだ,そば,食,35.699726,139.787613,153,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから153m。次点は北地蔵（173m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,13,41,北地蔵／ラーメン／173m／品質1.0,榊神社／寺社／4m／品質0.92,浅草文庫跡碑／名所・史跡／15m／品質0.92
CP031,21,S,南,35.695765,139.782718,21.1,麺やまるとも,ラーメン,食,35.697517,139.782939,196,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから196m。次点は鮨　小料理　あじま（197m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,13,53,鮨　小料理　あじま／すし／197m／品質1.0,手打ちそば　更里／そば／197m／品質1.0,とんかつ藤芳／とんかつ／200m／品質1.0
CP032,21,S,南,35.690798,139.776898,21.8,大斗,ラーメン,食,35.69111,139.778286,130,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから130m。次点はおひげ寿司（195m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,15,29,おひげ寿司／すし／195m／品質1.0,忠魂碑／史跡・記念物／73m／品質0.92,見延別院／寺社／79m／品質0.92
CP033,21,S,南,35.693288,139.769057,20.4,玉寿司,すし,食,35.693503,139.768188,82,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから82m。次点は回転寿司江戸ッ子（184m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,13,67,回転寿司江戸ッ子／すし／184m／品質1.0,真徳稲荷神社／寺社／111m／品質0.92,尾張屋本店／そば／217m／品質1.0
CP034,21,SW,南西,35.696764,139.761811,20.9,ラーメン盛太郎,ラーメン,食,35.696543,139.761282,54,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから54m。次点は一正（106m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,12,67,一正／ラーメン／106m／品質1.0,麺匠 大宮／ラーメン／107m／品質1.0,武蔵家／ラーメン／137m／品質1.0
CP035,21,SW,南西,35.70248,139.757072,21.2,昌清寺,寺社,寺社,35.703629,139.757675,139,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから139m。次点は興安寺（166m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,13,41,興安寺／寺社／166m／品質0.92,水道橋 稲荷社／史跡・記念物／167m／品質0.92,金比羅宮東京分社／寺社／173m／品質0.92
CP036,21,W,西,35.707954,139.751918,21.8,礫川公園,公園,みどり,35.707896,139.751105,74,0.6,1.0,1.0,1.0,1.0,0.84,公園・庭園。短い屋号。仮プロットから74m。次点は藤田東湖先生護母致命之處（172m・品質0.842）で、距離で上回ったため採用。,OpenStreetMap,新規選定,13,27,藤田東湖先生護母致命之處／史跡・記念物／172m／品質0.842,鎮魂の碑／史跡・記念物／252m／品質0.92,八卦堂跡／史跡・記念物／266m／品質0.92
CP037,21,W,西,35.714998,139.751867,21.3,小石川鮨亭,すし,食,35.713029,139.751734,219,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから219m。次点は丸山福山児童遊園（104m・品質0.84）で、品質で上回ったため採用。,OpenStreetMap,新規選定,15,7,丸山福山児童遊園／公園／104m／品質0.84,樋口一葉終焉の地／史跡・記念物／178m／品質0.884,八千代町児童遊園／公園／291m／品質0.84
CP038,21,NW,北西,35.721707,139.753705,20.5,神田 一番寿司,すし,食,35.722855,139.753042,141,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから141m。次点は大幸家（147m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,14,43,大幸家／ラーメン／147m／品質1.0,越／ラーメン／152m／品質1.0,辰巳／すし／153m／品質1.0
CP039,21,NW,北西,35.727797,139.757653,21.7,千駄木公園,公園,みどり,35.728323,139.757761,59,0.6,1.0,1.0,1.0,1.0,0.84,公園・庭園。短い屋号。仮プロットから59m。次点はそば処 小松庵（271m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,13,21,そば処 小松庵／そば／271m／品質1.0,養源寺／寺社／223m／品質0.92,西林ひろば／公園／133m／品質0.84
CP040,21,NW,北西,35.732708,139.763715,21.7,向陵稲荷神社,観光施設,文化財,35.733014,139.763608,35,0.8,1.0,1.0,1.0,1.0,0.92,区登録の文化財。短い屋号。仮プロットから35m。次点は向陵稲荷神社（71m・品質0.92）で、距離で上回ったため採用。,荒川区 観光施設一覧,新規選定,13,29,向陵稲荷神社／寺社／71m／品質0.92,麺屋　義／ラーメン／201m／品質1.0,天下一　うどん／そば／229m／品質1.0
CP041,28,N,北,35.738169,139.774029,28.5,浄善寺,寺社,寺社,35.738471,139.772885,109,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから109m。次点は天心ラーメン（266m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,10,17,天心ラーメン／ラーメン／266m／品質1.0,真昌寺／寺社／217m／品質0.92,吉野鮨／すし／293m／品質1.0
CP042,28,N,北,35.737878,139.78252,27.9,ますや,そば,食,35.735619,139.782442,251,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから251m。次点は荒川二丁目南公園（103m・品質0.84）で、品質で上回ったため採用。,OpenStreetMap,新規選定,14,31,荒川二丁目南公園／公園／103m／品質0.84,ゆいの森あらかわ／観光施設／206m／品質0.884,密厳院／観光施設／241m／品質0.92
CP043,28,NE,北東,35.734987,139.790188,27.8,砂場総本家(南千住砂場),そば,食,35.733227,139.790832,204,1.0,1.0,0.7,1.0,1.0,0.958,名物の一皿の業種。単店の屋号。仮プロットから204m。次点は瑞光公園（136m・品質0.84）で、品質で上回ったため採用。,OpenStreetMap,新規選定,12,14,瑞光公園／公園／136m／品質0.84,千住間道グリーンスポット／公園／81m／品質0.798,日本羊毛工業発祥の地／史跡・記念物／177m／品質0.842
CP044,28,NE,北東,35.730987,139.797219,28.4,延命寺,寺社,寺社,35.731618,139.797834,89,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから89m。次点は延命寺（96m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,12,19,延命寺／観光施設／96m／品質0.92,回向院／観光施設／145m／品質0.92,小塚原回向院／寺社／150m／品質0.92
CP045,28,NE,北東,35.724092,139.798997,27.5,一八寿司,すし,食,35.725346,139.799072,140,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから140m。次点は来福亭（194m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,14,37,来福亭／ラーメン／194m／品質1.0,東禪寺／寺社／106m／品質0.92,とんかつ　美乃屋／とんかつ／226m／品質1.0
CP046,28,E,東,35.717452,139.801002,27.4,とんかつ　中根,とんかつ,食,35.717125,139.800125,87,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから87m。次点は朝日山（238m・品質1.0）で、距離で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,12,45,朝日山／そば／238m／品質1.0,浅草製麺所／ラーメン／240m／品質1.0,道灌稲荷跡／史跡・記念物／173m／品質0.92
CP047,28,E,東,35.711009,139.804077,28.9,二峯先生之碑,史跡・記念物,史跡,35.711803,139.804424,94,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから94m。次点は明治天皇御製（90m・品質0.884）で、品質で上回ったため採用。,OpenStreetMap,新規選定,11,27,明治天皇御製／史跡・記念物／90m／品質0.884,三喜／ラーメン／244m／品質1.0,隅田公園水戸邸跡由来記／史跡・記念物／89m／品質0.842
CP048,28,SE,南東,35.704484,139.801426,28.6,華厳寺,寺社,寺社,35.704211,139.801552,32,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから32m。次点はえんま堂（51m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,12,10,えんま堂／史跡・記念物／51m／品質0.92,源光寺／寺社／65m／品質0.92,牛島神社／寺社／194m／品質0.92
CP049,28,SE,南東,35.699654,139.795408,28.2,石原町町会,史跡・記念物,史跡,35.699725,139.796209,73,0.8,1.0,1.0,0.8,1.0,0.884,史跡・記念物。短い屋号。仮プロットから73m。次点は溶解した鉄柱（143m・品質0.884）で、距離で上回ったため採用。,OpenStreetMap,新規選定,13,25,溶解した鉄柱／史跡・記念物／143m／品質0.884,都立横網町公園／公園／65m／品質0.84,大正大震火災石原町遭難者碑／史跡・記念物／71m／品質0.836
CP050,28,SE,南東,35.69534,139.788325,27.8,有限会社　玉椿,そば,食,35.696007,139.787003,141,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから141m。次点は（有）美家古鮨本店（135m・品質0.958）で、品質で上回ったため採用。,台東区 食品衛生営業施設一覧,新規選定,12,47,（有）美家古鮨本店／すし／135m／品質0.958,とんかつ　百万石／とんかつ／188m／品質1.0,柳橋／史跡・記念物／77m／品質0.92
CP051,28,S,南,35.689202,139.784352,28.9,めん屋そら,ラーメン,食,35.690716,139.784083,170,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから170m。次点はおひげ寿司（196m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,15,24,おひげ寿司／すし／196m／品質1.0,笠間稲荷神社／寺社／151m／品質0.92,初姫稲荷神社／史跡・記念物／161m／品質0.92
CP052,28,S,南,35.686193,139.776627,28.2,寿司貞,すし,食,35.68454,139.775603,206,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから206m。次点はHomemade Ramen（173m・品質0.916）で、品質で上回ったため採用。,OpenStreetMap,新規選定,8,49,Homemade Ramen 麦苗／ラーメン／173m／品質0.916,史蹟 三浦按針屋敷跡／史跡・記念物／129m／品質0.878,そばよし／麺／94m／品質0.84
CP053,28,S,南,35.688329,139.7679,28.3,鎌倉橋,史跡・記念物,史跡,35.688693,139.766495,133,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから133m。次点はせまかっちゃん（273m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,11,38,せまかっちゃん／ラーメン／273m／品質1.0,すし定／すし／273m／品質1.0,御宿稲荷神社／寺社／220m／品質0.92
CP054,28,SW,南西,35.691768,139.760537,27.9,わさび,すし,食,35.693408,139.759997,189,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから189m。次点は神田錦町　更科（247m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,11,18,神田錦町　更科／そば／247m／品質1.0,一橋徳川家 屋敷跡／史跡・記念物／190m／品質0.92,新島襄先生生誕地記念の碑／史跡・記念物／149m／品質0.878
CP055,28,SW,南西,35.697653,139.755927,27.5,鰹が昇るまで,ラーメン,食,35.697392,139.757242,122,1.0,1.0,1.0,1.0,1.0,1.0,名物の一皿の業種。単店の屋号。短い屋号。仮プロットから122m。次点はザボン（132m・品質1.0）で、距離で上回ったため採用。,OpenStreetMap,新規選定,13,44,ザボン／ラーメン／132m／品質1.0,甘蘭牛角麺／ラーメン／146m／品質1.0,用心棒／ラーメン／154m／品質1.0
CP056,28,SW,南西,35.702919,139.750556,27.2,藤田東湖先生遺跡,史跡・記念物,史跡,35.703974,139.750784,119,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから119m。次点はトーキョーニューミクスチャー（217m・品質0.916）で、品質で上回ったため採用。,OpenStreetMap,新規選定,13,30,トーキョーニューミクスチャーヌードル 八咫烏 CHIKARABO／ラーメン／217m／品質0.916,陸軍造幣廠 東京工廠跡 記念碑／史跡・記念物／137m／品質0.836,瘞鷂碑／史跡・記念物／248m／品質0.92
CP057,28,W,西,35.709446,139.747376,27.5,西岸寺,寺社,寺社,35.7093,139.747581,25,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから25m。次点は常泉院（71m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,9,24,常泉院／寺社／71m／品質0.92,日限不動尊／史跡・記念物／46m／品質0.884,聖歓喜天／史跡・記念物／78m／品質0.884
CP058,28,W,西,35.716273,139.746305,28.1,天皇山安閑寺,寺社,寺社,35.716972,139.746595,82,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから82m。次点は大雲寺（164m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,12,17,大雲寺／寺社／164m／品質0.92,念速寺／寺社／176m／品質0.92,新福寺／寺社／228m／品質0.92
CP059,28,NW,北西,35.723542,139.748288,28.7,寂円寺,寺社,寺社,35.723247,139.74654,161,0.8,1.0,1.0,1.0,1.0,0.92,訪ねられる寺社。短い屋号。仮プロットから161m。次点は龍泉寺（192m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,10,18,龍泉寺／寺社／192m／品質0.92,金光教／寺社／226m／品質0.92,浄土寺／寺社／253m／品質0.92
CP060,28,NW,北西,35.729252,139.753625,28.5,二宮尊徳の墓碑,史跡・記念物,史跡,35.728065,139.753679,132,0.8,1.0,1.0,1.0,1.0,0.92,史跡・記念物。短い屋号。仮プロットから132m。次点は天祖神社（135m・品質0.92）で、距離で上回ったため採用。,OpenStreetMap,新規選定,11,28,天祖神社／寺社／135m／品質0.92,鎮火稲荷神社／史跡・記念物／139m／品質0.92,お七 吉三郎 比翼塚／史跡・記念物／155m／品質0.92
